keyphrase,lang,topics,tags
shape group other,en,priority-6|words-3
material other quantity,en,priority-3|words-3
style other size,en,priority-1|words-3
group product color,en,priority-5|words-3
other color quantity,en,priority-4|words-3
style other material,en,priority-6|words-3
shape color other,en,priority-4|words-3
product style other,en,priority-2|words-3
product other color,en,priority-10|words-3
product group scene,en,priority-3|words-3
shape other color,en,priority-5|words-3
material other color,en,priority-2|words-3
material scene other,en,priority-4|words-3
product quantity material,en,priority-3|words-3
shape style product,en,priority-1|words-3
other product group,en,priority-8|words-3
material product group,en,priority-9|words-3
product color quantity,en,priority-3|words-3
scene product style,en,priority-3|words-3
other material product,en,priority-10|words-3
other shape product,en,priority-9|words-3
style color other,en,priority-8|words-3
other material shape,en,priority-1|words-3
quantity other scene,en,priority-9|words-3
color product shape,en,priority-2|words-3
scene other product,en,priority-4|words-3
scene other shape,en,priority-4|words-3
product color scene,en,priority-9|words-3
size product group,en,priority-6|words-3
style other color,en,priority-1|words-3
group product material,en,priority-9|words-3
product size quantity,en,priority-1|words-3
material other scene,en,priority-4|words-3
color product other,en,priority-9|words-3
product other style,en,priority-9|words-3
product style material,en,priority-5|words-3
material size product,en,priority-6|words-3
style size other,en,priority-1|words-3
other color size,en,priority-6|words-3
quantity size product,en,priority-8|words-3
scene material other,en,priority-1|words-3
product style shape,en,priority-1|words-3
shape product size,en,priority-4|words-3
other size quantity,en,priority-7|words-3
material group other,en,priority-8|words-3
other style material,en,priority-6|words-3
style quantity product,en,priority-9|words-3
style product shape,en,priority-1|words-3
shape product style,en,priority-5|words-3
other product quantity,en,priority-2|words-3
other size scene,en,priority-9|words-3
group style other,en,priority-4|words-3
product style color,en,priority-4|words-3
other style scene,en,priority-9|words-3
other group shape,en,priority-5|words-3
quantity color product,en,priority-1|words-3
quantity size other,en,priority-4|words-3
product other group,en,priority-8|words-3
quantity color other,en,priority-6|words-3
product quantity size,en,priority-9|words-3
group quantity product,en,priority-4|words-3
product style quantity,en,priority-4|words-3
product size color,en,priority-10|words-3
other color group,en,priority-5|words-3
size color product,en,priority-10|words-3
other scene shape,en,priority-6|words-3
quantity other material,en,priority-5|words-3
color style product,en,priority-1|words-3
other size material,en,priority-9|words-3
other quantity shape,en,priority-1|words-3
group color product,en,priority-7|words-3
material product size,en,priority-6|words-3
product quantity style,en,priority-6|words-3
style product group,en,priority-3|words-3
shape product group,en,priority-3|words-3
group product size,en,priority-10|words-3
scene product group,en,priority-7|words-3
product shape color,en,priority-4|words-3
size style other,en,priority-7|words-3
shape other material,en,priority-4|words-3
style other quantity,en,priority-5|words-3
product scene other,en,priority-6|words-3
product other shape,en,priority-2|words-3
other shape style,en,priority-3|words-3
product color material,en,priority-6|words-3
other group material,en,priority-9|words-3
color style other,en,priority-10|words-3
other quantity product,en,priority-8|words-3
scene other group,en,priority-2|words-3
product scene quantity,en,priority-10|words-3
quantity product scene,en,priority-7|words-3
quantity scene other,en,priority-1|words-3
quantity product material,en,priority-9|words-3
product scene color,en,priority-9|words-3
other material group,en,priority-2|words-3
color shape product,en,priority-8|words-3
group quantity other,en,priority-7|words-3
other scene group,en,priority-3|words-3
size other style,en,priority-9|words-3
color other scene,en,priority-1|words-3
quantity product other,en,priority-9|words-3
material product quantity,en,priority-6|words-3
other quantity material,en,priority-6|words-3
product material scene,en,priority-8|words-3
product shape scene,en,priority-2|words-3
other group product,en,priority-6|words-3
color quantity other,en,priority-2|words-3
scene product shape,en,priority-4|words-3
size other group,en,priority-4|words-3
other scene style,en,priority-5|words-3
quantity other size,en,priority-4|words-3
shape scene product,en,priority-8|words-3
other quantity style,en,priority-9|words-3
size shape other,en,priority-6|words-3
style other scene,en,priority-10|words-3
product shape other,en,priority-5|words-3
product shape quantity,en,priority-4|words-3
